Date,Quantity ,Monetary,Amount,Index,Updown
107/05/03,5841156553,1.24E+11,993874,10514.18,-104.63
107/05/04,5653857640,1.21E+11,958698,10529.37,15.19
107/05/07,6108995691,1.26E+11,956892,10604.91,75.54
107/05/08,7064737649,1.34E+11,1042424,10691.38,86.47
107/05/09,7074991040,1.36E+11,1123979,10703.35,11.97
107/05/10,7062376802,1.39E+11,1102455,10760.21,56.86
107/05/11,7399223416,1.66E+11,1248505,10858.98,98.77
107/05/14,7222849033,1.45E+11,1168845,10952.39,93.41
107/05/15,7275156962,1.54E+11,1259302,10874.73,-77.66
107/05/16,7224691612,1.39E+11,1258230,10897.57,22.84
107/05/17,6908232453,1.34E+11,1133488,10833.81,-63.76
107/05/18,6809564130,1.28E+11,1096584,10830.84,-2.97
107/05/21,7127060919,1.28E+11,1111966,10966.2,135.36
107/05/22,7244202099,1.35E+11,1115814,10938.73,-27.47
107/05/23,6751995051,1.4E+11,1128547,10886.18,-52.55
107/05/24,6331255981,1.28E+11,1063601,10936.93,50.75
107/05/25,6446493244,1.29E+11,1077863,10942.3,5.37
107/05/28,6798818929,1.41E+11,1126688,10987.77,45.47
107/05/29,6779308332,1.41E+11,1158970,10964.12,-23.65
107/05/30,7427700284,1.64E+11,1344635,10821.17,-142.95
107/05/31,8683904322,2.39E+11,1405646,10874.96,53.79
107/06/01,6791499798,1.41E+11,1235468,10949.08,74.12
107/06/04,7608946367,1.58E+11,1297838,11109.5,160.42
107/06/05,7768901127,1.64E+11,1354290,11100.11,-9.39
107/06/06,8106541820,1.73E+11,1342941,11201.83,101.72
107/06/07,8651462832,1.9E+11,1452869,11251.75,49.92
107/06/08,7457434235,1.63E+11,1274963,11156.42,-95.33
107/06/11,6544815539,1.56E+11,1205053,11149.23,-7.19
107/06/12,7363237748,1.83E+11,1359741,11144.79,-4.44
107/06/13,7532863350,1.79E+11,1379575,11173.21,28.42
107/06/14,7130242175,1.67E+11,1350719,11013.98,-159.23
107/06/15,7438455164,1.93E+11,1273779,11087.47,73.49
107/06/19,7290686719,1.72E+11,1362200,10904.19,-183.28
107/06/20,7461838541,1.81E+11,1402140,10927.44,23.25
107/06/21,6238887073,1.38E+11,1106856,10941.07,13.63
107/06/22,6466160866,1.52E+11,1205266,10899.28,-41.79
107/06/25,5583981499,1.27E+11,1062748,10786.46,-112.82
107/06/26,6545486831,1.43E+11,1198251,10742.17,-44.29
107/06/27,6039482471,1.49E+11,1127177,10701.03,-41.14
107/06/28,5819485996,1.33E+11,1056734,10654.28,-46.75
107/06/29,5905588515,1.42E+11,1022448,10836.91,182.63
107/07/02,6297627910,1.45E+11,1034537,10777.94,-58.97
107/07/03,6742265650,1.73E+11,1238857,10715.72,-62.22
107/07/04,5478787032,1.24E+11,953179,10721.87,6.15
107/07/05,5359021884,1.33E+11,998158,10611.81,-110.06
107/07/06,6165283695,1.62E+11,1180601,10608.57,-3.24
107/07/09,6127736656,1.4E+11,986658,10720.28,111.71
107/07/10,6300857261,1.27E+11,1012026,10756.89,36.61
107/07/11,5545633962,1.32E+11,955501,10676.84,-80.05
107/07/12,5983221321,1.33E+11,955007,10738.38,61.54
107/07/13,6738061000,1.45E+11,1039898,10864.54,126.16
107/07/16,5842702203,1.27E+11,948649,10817.45,-47.09
107/07/17,5769752253,1.35E+11,998289,10778.99,-38.46
107/07/18,6625523497,1.66E+11,1213014,10842.46,63.47
107/07/19,5902184753,1.45E+11,986751,10835.38,-7.08
107/07/20,5917717874,1.68E+11,1064472,10932.11,96.73
107/07/23,5548013259,1.5E+11,1026847,10946.89,14.78
107/07/24,5925802969,1.46E+11,1030270,10995.39,48.5
107/07/25,5563011487,1.24E+11,937502,10965.79,-29.6
107/07/26,5644454704,1.34E+11,1004961,11010.61,44.82
107/07/27,5679074504,1.26E+11,1010105,11075.78,65.17
107/07/30,5483470910,1.27E+11,973756,11033.54,-42.24
107/07/31,5767326753,1.59E+11,1041231,11057.51,23.97
107/08/01,5996017371,1.45E+11,1019958,11098.13,40.62
107/08/02,6199124933,1.42E+11,1083246,10929.77,-168.36
107/08/03,4935006119,1.37E+11,953146,11012.43,82.66
107/08/06,5237227569,1.17E+11,919883,11024.1,11.67
107/08/07,5150225796,1.21E+11,930272,10983.44,-40.66
107/08/08,5558289226,1.43E+11,997166,11075.25,91.81
107/08/09,5319750759,1.27E+11,919167,11028.07,-47.18
107/08/10,5009261499,1.26E+11,961057,10983.68,-44.39
107/08/13,6399194482,1.6E+11,1302649,10748.92,-234.76
107/08/14,5398052266,1.38E+11,1042601,10824.23,75.31
107/08/15,5519384107,1.36E+11,1144742,10716.75,-107.48
